mode: set
soma_server/api/server.go:18.53,20.2 1 1
soma_server/api/server.go:22.43,23.12 1 0
soma_server/api/server.go:23.12,24.7 1 0
soma_server/api/server.go:24.7,27.4 2 0
soma_server/api/server.go:30.2,36.39 6 0
soma_server/api/server.go:39.70,43.27 4 1
soma_server/api/server.go:43.27,46.3 2 1
soma_server/api/server.go:47.2,49.34 3 1
soma_server/api/server.go:52.75,56.27 4 1
soma_server/api/server.go:56.27,59.3 2 1
soma_server/api/server.go:61.2,65.65 2 1
soma_server/api/server.go:65.65,68.3 2 1
soma_server/api/server.go:71.2,73.16 3 1
soma_server/api/server.go:73.16,76.3 2 0
soma_server/api/server.go:79.2,138.4 18 1
soma_server/api/server.go:141.76,145.27 4 1
soma_server/api/server.go:145.27,148.3 2 1
soma_server/api/server.go:149.2,149.24 1 1
soma_server/api/server.go:149.24,152.3 2 1
soma_server/api/server.go:153.2,156.64 2 1
soma_server/api/server.go:156.64,159.3 2 1
soma_server/api/server.go:160.2,162.105 3 1
soma_server/api/server.go:165.68,169.27 4 1
soma_server/api/server.go:169.27,172.3 2 1
soma_server/api/server.go:173.2,173.24 1 1
soma_server/api/server.go:173.24,176.3 2 1
soma_server/api/server.go:177.2,180.64 2 1
soma_server/api/server.go:180.64,183.3 2 1
soma_server/api/server.go:184.2,186.107 3 1
soma_server/main.go:9.13,17.43 6 0
soma_server/main.go:17.43,19.3 1 0
